,nb_inputs,cross_corr,legacy_cross_corr,cp_dot_computation_no_reshape,np_dot_computation_no_reshape,inputs_side_len,nb_kernels,kernels_side_len,depth,speed_up
281,1,0.0009764420001374674,0.0008049930002016481,0.0009474990001763217,0.0001626930002203153,32,31,3,3,0.8244145582516094
106,1,0.0010074709998662001,0.0008309790000566863,0.0008005310000953614,0.00016374799997720402,32,13,6,1,0.8248167938998211
156,1,0.001051548000305047,0.0008698220003680035,0.0008515110002917936,0.00017302300011579064,32,18,6,1,0.8271824016741737
126,1,0.001031585999953677,0.0008581649999541696,0.0008224190000873932,0.00015271299980668118,32,15,6,1,0.8318889554459883
28,1,0.0011213970001335838,0.0009342250000372587,0.0008778470000834204,0.0001567979998071678,32,5,7,1,0.8330903327955856
144,1,0.0010317690002921154,0.0008606010001130926,0.0008044870000958326,0.00017210499981956673,32,17,5,1,0.8341024007015508
146,1,0.0010377749999861408,0.0008660560001771955,0.0008305540000037581,0.00016997700004139915,32,17,6,1,0.8345315701272062
258,1,0.0010950199998660537,0.0009146130000772246,0.0010456639997755701,0.0002108499998030311,32,28,7,1,0.8352477582045104
124,1,0.0010255639999741106,0.0008573430000069493,0.0007789989999764657,0.0001473269999223703,32,15,5,1,0.8359722065405885
66,1,0.0009610469996914617,0.0008048309996411263,0.0007500900001105038,0.00017656199997873046,32,9,6,1,0.8374522785040819
198,1,0.001067716000306973,0.000894557999799872,0.0009519290001662739,0.00018536000015956233,32,22,7,1,0.837823915294594
136,1,0.0010258190000058676,0.0008622899999863876,0.0009406819999639993,0.00012792799998351256,32,16,6,1,0.8405868871423277
238,1,0.001111566999952629,0.0009431429998585372,0.0009956559997590375,0.00021360799973990652,32,26,7,1,0.8484805683316711
4,1,0.0009557180001138477,0.0008110460003081243,0.000644392999674892,0.00017971999977817177,32,3,5,1,0.8486248037721487
18,1,0.001144968000062363,0.000973035999777494,0.0008553839998057811,0.00015387300027214224,32,4,7,1,0.8498368510949613
266,1,0.001068193999799405,0.0009078450002562022,0.0009505520001766854,0.00019477499972708756,32,29,6,1,0.8498877548710116
8,1,0.001142344000072626,0.0009753009999258211,0.0008190840003408084,0.0001491920002081315,32,3,7,1,0.853771718382392
248,1,0.0010919770002146834,0.0009332270001323195,0.0009920720003719907,0.000213860000258137,32,27,7,1,0.854621480075905
58,1,0.0010523629998715478,0.0008999410001706565,0.000833688000057009,0.0001338439997198293,32,8,7,1,0.8551621448877469
116,1,0.0009920899997268862,0.0008510070001648273,0.0008252540001194575,0.00015723299975434202,32,14,6,1,0.8577921361964159
76,1,0.0009718069995869882,0.000833827999940695,0.0007706060000600701,0.00016344799996659276,32,10,6,1,0.8580181047214792
